bustabit-tiny-hot-wallet_peak-and-tail,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#NegEffVal spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
BnB + SRDLTD,14.67818675,376.08,425,10076,12962,5005,0,3311,bnb: **1694** ; Total: **1694**,0.00050336,9.60893461,0.35099309,1.02803753,0.45683012,0.00009127,0.00289000,0.45972012,1,160,2.59,4.52,srdltd: **3311** ; bnb: **1694**
BnB + SRDLTD,14.67725130,381.00,410,10076,12963,5005,0,3297,bnb: **1708** ; Total: **1708**,0.00050883,9.82263806,0.35820184,1.09260534,0.45776557,0.00009146,0.00278800,0.46055357,1,175,2.59,4.56,srdltd: **3297** ; bnb: **1708**
BnB + SRDLTD,14.67706918,375.09,408,10076,12967,5005,0,3299,bnb: **1706** ; Total: **1706**,0.00051473,9.49986452,0.34905979,1.00896038,0.45794769,0.00009150,0.00277440,0.46072209,1,179,2.59,4.70,srdltd: **3299** ; bnb: **1706**
BnB + SRDLTD,14.67707160,379.15,426,10076,12955,5005,0,3305,bnb: **1700** ; Total: **1700**,0.00050959,9.49986452,0.35351080,1.06118018,0.45794527,0.00009150,0.00289680,0.46084207,1,181,2.59,4.68,srdltd: **3305** ; bnb: **1700**
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.1178062761762,,,,,
,,,,,,,,,,,,,,,,,1.09576004079372,,,,,
,,,,,,,,,,,,,,,,,1.11868605286348,,,,,
