----BEGIN SIMULATION RESULTS----
Scenario: bustabit-2019-2020-short.csv
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | Usage |
| bustabit-2019-2020-short.csv | 0.10000000 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | Total: **0** | 0 | 0 | 0 | 0 | 0 | 0 | -6.80000000E-7 | -6.80000000E-7 | 0 | 0 | 0 | 0 |  |
| bustabit-2019-2020-short.csv | 364.08531344 | 1494.17276471 | 2553 | 11212 | 12261 | 5788 | 0 | 3601 | bnb: **2186** ; srd: **1** ; Total: **2187** | 0.00010733 | 9.99263885 | 0.250197700089 | 0.569677982312 | 0.51627878 | 0.0000891981306151 | -0.00173604000 | 0.51454274000 | 1 | 82 | 2.11834830684 | 2.40599775480 | blackjack: **568** ; srd: **3034** ; bnb: **2186** |
| bustabit-2019-2020-short.csv | 371.15112651 | 1524.68434286 | 2630 | 11534 | 12622 | 5966 | 0 | 3717 | bnb: **2248** ; srd: **1** ; Total: **2249** | 0.00010733 | 9.99263885 | 0.246883447667 | 0.562592115865 | 0.53071651 | 0.0000889568404291 | -0.00178840000 | 0.52892811000 | 1 | 82 | 2.11565538049 | 2.42071937198 | blackjack: **592** ; srd: **3126** ; bnb: **2248** |
| bustabit-2019-2020-short.csv | 367.82245000 | 1556.25638889 | 2704 | 11870 | 12981 | 6130 | 0 | 3814 | bnb: **2315** ; srd: **1** ; Total: **2316** | 0.00010733 | 9.99263885 | 0.244736088880 | 0.556960500982 | 0.54099245 | 0.0000882532544861 | -0.00183872000 | 0.53915373000 | 1 | 82 | 2.11761827080 | 2.40947026235 | blackjack: **608** ; srd: **3207** ; bnb: **2315** |
| bustabit-2019-2020-short.csv | 366.08892045 | 1588.80454054 | 2781 | 12202 | 13337 | 6298 | 0 | 3915 | bnb: **2382** ; srd: **1** ; Total: **2383** | 0.00010733 | 9.99263885 | 0.242118541890 | 0.551353322904 | 0.55766747 | 0.0000885467561131 | -0.00189108000 | 0.55577639000 | 1 | 82 | 2.11765639886 | 2.45802677008 | blackjack: **616** ; srd: **3300** ; bnb: **2382** |
| bustabit-2019-2020-short.csv | 390.34467088 | 1620.92910526 | 2864 | 12544 | 13683 | 6456 | 0 | 4002 | bnb: **2453** ; srd: **1** ; Total: **2454** | 0.00010733 | 9.99263885 | 0.240135240062 | 0.546909943605 | 0.57361325 | 0.0000888496359975 | -0.00194752000 | 0.57166573000 | 1 | 82 | 2.11942379182 | 2.45356328104 | blackjack: **630** ; srd: **3373** ; bnb: **2453** |
| bustabit-2019-2020-short.csv | 382.96263031 | 1654.30887179 | 2976 | 12907 | 13999 | 6593 | 0 | 4067 | bnb: **2525** ; srd: **1** ; Total: **2526** | 0.00010733 | 9.99263885 | 0.238611174795 | 0.543990528159 | 0.58318555 | 0.0000884552631579 | -0.00202368000 | 0.58116187000 | 1 | 82 | 2.12331260428 | 2.43933515846 | blackjack: **646** ; srd: **3422** ; bnb: **2525** |
| bustabit-2019-2020-short.csv | 385.72111959 | 1688.76155000 | 3073 | 13232 | 14330 | 6768 | 0 | 4170 | bnb: **2597** ; srd: **1** ; Total: **2598** | 0.00010733 | 9.99263885 | 0.235394514700 | 0.538551170669 | 0.60053501 | 0.0000887315322104 | -0.00208964000 | 0.59844537000 | 1 | 82 | 2.11731678487 | 2.41720748916 | blackjack: **665** ; srd: **3506** ; bnb: **2597** |
| bustabit-2019-2020-short.csv | 387.69573366 | 1723.84375610 | 3212 | 13592 | 14617 | 6908 | 0 | 4236 | bnb: **2671** ; srd: **1** ; Total: **2672** | 0.00010733 | 9.99263885 | 0.233695227694 | 0.535297656572 | 0.61466299 | 0.0000889784293573 | -0.00218416000 | 0.61247883000 | 1 | 82 | 2.11595251882 | 2.41070803959 | blackjack: **678** ; srd: **3559** ; bnb: **2671** |
| bustabit-2019-2020-short.csv | 395.85661410 | 1759.56338095 | 3266 | 13928 | 14965 | 7072 | 0 | 4302 | bnb: **2769** ; srd: **1** ; Total: **2770** | 0.00010733 | 9.99263885 | 0.232038041618 | 0.531900850113 | 0.62750060 | 0.0000887302884615 | -0.00222088000 | 0.62527972000 | 1 | 82 | 2.11609162896 | 2.39400351538 | blackjack: **689** ; srd: **3614** ; bnb: **2769** |
| bustabit-2019-2020-short.csv | 396.09187279 | 1795.12581395 | 3300 | 14239 | 15335 | 7261 | 0 | 4395 | bnb: **2865** ; srd: **1** ; Total: **2866** | 0.00010733 | 9.99263885 | 0.230725253006 | 0.530347617557 | 0.64208913 | 0.0000884298485057 | -0.00224400000 | 0.63984513000 | 1 | 82 | 2.11196804848 | 2.37688507114 | blackjack: **702** ; srd: **3694** ; bnb: **2865** |
